figure_panel,regimen,biomarker,curve,time_day,value,units,digitization_note
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,2.5,4.26028,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,2.75,3.45578,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,3.0,3.02377,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,3.25,2.76875,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,3.5,2.55991,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,3.75,2.40269,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,4.0,2.19468,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,4.25,2.0637,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,4.5,1.94054,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,4.75,1.85311,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,5.0,1.75243,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,5.25,1.66906,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,5.5,1.58392,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,5.75,1.53577,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,6.0,1.4945,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,6.25,1.4719,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,6.5,1.41124,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,6.75,1.39995,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,7.0,1.36942,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,7.25,1.33661,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,7.5,1.31614,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,7.75,1.31614,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,8.0,1.27614,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,8.25,1.2566,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,8.5,1.23735,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,8.75,1.23735,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,9.0,1.2184,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,9.25,1.19974,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,9.5,1.19974,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,9.75,1.16328,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,10.0,1.16328,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,10.25,1.16328,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,10.5,1.16328,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,10.75,1.16328,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,11.0,1.13648,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,11.25,1.12792,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,11.5,1.12792,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,11.75,1.11065,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,12.0,1.11065,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,12.25,1.11065,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,12.5,1.11065,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,12.75,1.11065,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,13.0,1.09674,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,13.25,1.0604,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,13.5,1.0604,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,13.75,1.0604,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,14.0,1.04416,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,14.25,1.04416,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,14.5,1.07652,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,14.75,1.11944,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,15.0,1.16408,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,15.25,1.0,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,15.5,1.0,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,15.75,1.0,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,16.0,1.0,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,16.25,1.0,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,16.5,1.0,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,16.75,1.0,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,17.0,1.0,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,17.25,1.0,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,17.5,1.0,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,17.75,1.0,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,18.0,1.0,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,18.25,1.0,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,18.5,1.0,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,18.75,1.0,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,19.0,1.0,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,19.25,1.0,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,19.5,1.0,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,19.75,1.0,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,20.0,1.0,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,20.25,2.64589,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,20.5,2.75139,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,20.75,2.86109,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,21.0,3.12602,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,21.25,4.0,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,21.5,3.64911,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,21.75,3.27996,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,22.0,2.98921,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,22.25,2.76342,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,22.5,2.51952,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,22.75,2.406,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,23.0,2.33333,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,23.25,2.16048,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,23.5,2.03154,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,23.75,1.97018,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,24.0,1.88141,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,24.25,1.84823,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,24.5,1.73759,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,24.75,1.69475,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,25.0,1.68477,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,25.25,1.60855,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,25.5,1.58392,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
A,20 mg C1D1; 20 mg Day 1 subsequent cycles,IL6,median_green,25.75,1.5655,pg/mL,Digitized from published Fig. 5 image; green curves are anchor-scaled to printed peak labels when printed in the figure; max_gray_envelope is the visible upper envelope over gray individual trajectories and is not one identifiable virtual patient.
