figure_panel,regimen,patient_rank_fraction,approx_virtual_patient_rank_if_N4500,tumor_change_percent_day84,units,digitization_note
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0340,154,233.778,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0360,163,233.778,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0380,172,233.778,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0400,181,233.778,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0420,190,233.778,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0440,199,233.778,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0460,208,223.004,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0480,217,198.049,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0500,226,182.187,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0520,235,173.63,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0540,244,169.318,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0560,253,165.22,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0580,262,161.121,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0600,271,157.988,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0620,280,155.877,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0640,289,153.828,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0660,298,150.819,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0680,307,147.745,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0700,316,145.626,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0720,325,141.671,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0740,334,140.425,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0760,343,137.503,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0780,352,133.483,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0800,361,131.273,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0820,370,129.224,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0840,379,127.175,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0860,388,125.125,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0880,397,123.076,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0900,406,119.158,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0920,415,115.992,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0940,424,112.918,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0960,433,108.916,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.0980,442,105.743,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1000,451,104.517,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1020,460,97.961,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1040,469,97.2279,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1060,478,97.2279,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1080,487,95.3963,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1100,496,93.347,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1120,505,90.386,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1140,514,88.2218,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1160,523,87.0801,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1180,532,86.0554,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1200,541,83.2238,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1220,550,81.9528,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1240,559,80.0287,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1260,568,77.9795,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1280,577,75.0349,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1300,586,73.7474,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1320,595,70.9405,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1340,604,69.6448,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1360,613,66.846,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1380,622,65.5421,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1400,631,62.7515,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1420,640,60.5585,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1440,649,58.5092,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1460,658,57.3368,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1480,667,55.4374,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1500,676,54.2608,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1520,685,51.4949,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1540,694,50.1581,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1560,703,49.1335,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1580,712,48.1088,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1600,721,47.0842,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1620,730,46.0595,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1640,739,45.0349,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1660,748,43.154,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1680,757,41.9589,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1700,766,40.9343,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1720,775,39.0595,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1740,784,37.0103,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1760,793,34.961,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1780,802,33.7556,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1800,811,31.8891,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1820,820,30.6797,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1840,829,28.8172,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1860,838,28.4394,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1880,847,26.7721,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1900,856,25.5544,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1920,865,24.5298,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1940,874,22.6776,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1960,883,20.6283,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.1980,892,18.5791,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.2000,901,16.5298,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.2020,910,15.2998,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.2040,919,14.2752,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.2060,928,13.2505,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.2080,937,12.2259,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.2100,946,10.3901,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.2120,955,8.34086,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.2140,964,6.29158,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.2160,973,4.2423,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.2180,982,2.99589,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.2200,991,1.03696,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.2220,1000,-1.18309,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.2240,1009,-3.40315,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.2260,1018,-5.6232,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.2280,1027,-7.84326,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.2300,1036,-10.0633,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.2320,1045,-12.2834,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.2340,1054,-14.5034,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.2360,1063,-16.7235,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.2380,1072,-18.9435,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.2400,1081,-21.1636,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
I,20 mg C1D1; 20 mg Day 1 subsequent cycles,0.2420,1090,-23.3836,% change from baseline,Digitized from the visible waterfall contour in Fig. 5. X-axis is normalized patient rank. Approximate patient rank assumes n=4500; Fig. 5 itself does not print n.
